,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
191,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites shensiensis,111.01700000000001,40.048,-247,-201,96.08,47.13
192,Gymnospermae,Pteridospermopsida,O,F,Tongchuanophyllum,Tongchuanophyllum concinnum,109.052,35.21,-247,-237,86.81,39.09
193,Gymnospermae,Pteridospermopsida,O,F,Tongchuanophyllum,Tongchuanophyllum shensiense,109.052,35.21,-247,-237,86.81,39.09
194,Gymnospermae,Pteridospermopsida,O,F,Tongchuanophyllum,Tongchuanophyllum trigonus,109.052,35.21,-247,-237,86.81,39.09
195,Gymnospermae,Pteridospermopsida,O,F,Tongchuanophyllum,Tongchuanophyllum cf.shensiense,112.509,37.113,-247,-237,90.73,40.63
196,Gymnospermae,Pteridospermopsida,O,F,Tongchuanophyllum,Tongchuanophyllum magnifolius,112.06,38.699,-247,-201,96.79,45.64
197,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia cf.koeneni,110.48,19.121,-247,-237,100.34,17.53
198,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia weismanni,110.48,19.121,-247,-237,100.34,17.53
199,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia cf.walchiaeformis,110.601,37.689,-247,-237,88.84,41.4
200,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia cf.walchiaeformis,111.00399999999999,40.04,-247,-237,89.68,43.68
201,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia curtifolis,110.29299999999999,29.511,-247,-237,96.22,21.68
202,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia heterophylla,110.29299999999999,29.511,-247,-237,96.22,21.68
203,Gymnospermae,Coniferopsida,O,F,Willsiostrobus,Willsiostrobus cf.willsii,110.82799999999999,36.998000000000005,-247,-201,90.2,33.29
204,Gymnospermae,Coniferopsida,O,F,Willsiostrobus,Willsiostrobus cf.cordiformis,110.29299999999999,29.511,-247,-237,96.22,21.68
205,Gymnospermae,Pteridospermopsida,O,F,Yabeiella,Yabeiella cf.mareyesiaca,123.68700000000001,41.282,-247,-237,103.08,43.53
206,Gymnospermae,Pteridospermopsida,O,F,Yabeiella,Yabeiella multinervis,123.68700000000001,41.282,-247,-237,103.08,43.53
207,Gymnospermae,Coniferopsida,O,F,Yuccites,Yuccites spathulata,87.624,43.792,-247,-201,87.75,42.94
208,Gymnospermae,Coniferopsida,O,F,Yuccites,Yuccites anastomosis,110.31299999999999,29.522,-247,-237,96.86,27.43
209,Gymnospermae,Coniferopsida,O,F,Yuccites,Yuccites vogesiacus,110.31299999999999,29.522,-247,-237,96.86,27.43
