,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
91,Pteridophyta,Filicopsida,O,F,Sphenopteris,Sphenopteris yusheensis,113.068,36.967,-251,-247,92.24,32.78
92,Gymnospermae,C,O,F,Squamocarpus,Squamocarpus papilioformis,104.37700000000001,25.836,-251,-247,96.26,5.51
93,Gymnospermae,Cycadopsida,O,F,Taeniopteris,Taeniopteris costiformis,110.471,19.112000000000002,-251,-247,104.84,3.56
94,Gymnospermae,Cycadopsida,O,F,Taeniopteris,Taeniopteris hainanensis,110.471,19.112000000000002,-251,-247,104.84,3.56
95,Gymnospermae,Cycadopsida,O,F,Taeniopteris,Taeniopteris mironervis,110.493,19.122,-251,-247,104.85,3.58
96,Gymnospermae,Pteridospermopsida,O,F,Thinnfeldia,Thinnfeldia monopinnata,113.23,37.608000000000004,-251,-247,92.6,33.36
97,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites shensiensis,110.48,19.121,-251,-247,104.84,3.57
98,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites shensiensis,110.491,19.125999999999998,-251,-247,104.84,3.58
99,Gymnospermae,Pteridospermopsida,O,F,Tongchuanophyllum,Tongchuanophyllum cf.concinnum,113.055,36.961999999999996,-251,-247,92.23,32.78
100,Gymnospermae,Pteridospermopsida,O,F,Tongchuanophyllum,Tongchuanophyllum cf.shensiense,113.236,37.533,-251,-247,92.58,33.29
101,Gymnospermae,Pteridospermopsida,O,F,Tongchuanophyllum,Tongchuanophyllum magnifolius,112.552,36.699,-251,-247,91.69,32.63
102,Gymnospermae,Pteridospermopsida,O,F,Tongchuanophyllum,Tongchuanophyllum minimum,113.055,36.961999999999996,-251,-247,92.23,32.78
103,Gymnospermae,Coniferopsida,O,F,Tricranolepis,Tricranolepis obtusiloba,111.09,36.411,-251,-247,90.25,32.67
104,Gymnospermae,Cycadopsida,O,F,Uralophyllum,Uralophyllum cf.radczenkoi,82.959,41.716,-251,-247,76.55,35.48
105,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia cf.heterophylla,112.96799999999999,37.07,-251,-247,92.18,32.9
106,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia cf.heterophylla,112.17200000000001,34.516,-251,-247,90.66,30.61
107,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia cf.koeneni,110.537,19.1789,-251,-247,104.85,3.65
108,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia heterophylla,110.537,19.1789,-251,-247,104.85,3.65
109,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia quinquepetala,112.96799999999999,37.07,-251,-247,92.18,32.9
110,Gymnospermae,Coniferopsida,O,Voltziaceae,Voltzia,Voltzia weismanni,110.537,19.1789,-251,-247,104.85,3.65
111,Gymnospermae,Cycadopsida,Bennettiales,F,Williamsoniella,Williamsoniella jianshangouensis,113.055,36.961999999999996,-251,-247,92.23,32.78
112,Gymnospermae,Coniferopsida,O,F,Willsiostrobus,Willsiostrobus cf.cordiformis,112.96799999999999,37.07,-251,-247,92.18,32.9
113,Gymnospermae,Coniferopsida,O,F,Willsiostrobus,Willsiostrobus ligulatus,112.96799999999999,37.07,-251,-247,92.18,32.9
114,Gymnospermae,Coniferopsida,O,F,Willsiostrobus,Willsiostrobus cf.denticulatus,113.235,37.532,-251,-247,92.58,33.29
115,Gymnospermae,Coniferopsida,O,F,Yuccites,Yuccites ensiformis,110.537,19.1789,-251,-247,104.85,3.65
116,Gymnospermae,Coniferopsida,O,F,Yuccites,Yuccites anastomosis,112.96799999999999,37.07,-251,-247,92.18,32.9
117,Gymnospermae,Coniferopsida,O,F,Yuccites,Yuccites vogesiacus,119.613,40.887,-251,-247,99.42,35.22
118,Gymnospermae,Pteridospermopsida,O,F,Zamiopteris,Zamiopteris minor,113.055,36.961999999999996,-251,-247,92.23,32.78
